url,brand,modele,name_pro,carrosserie,energie,etat_vehicule,transmission,controle_technique,couleur_interieur,type_peinture_carrosserie,Marque,all_city,code_region,nom_region,numero_departement,nom_departement,nom_commune,latitude,longitude,is_pro,date,pneus_hiver,barres_de_toit,premiere_main,non_fumeur,stationne_dans_garage,sous_garantie_constructeur,attelage,sous_garantie_autre_que_constructeur,cons_mixte_l_by_100km,emissions_co2_g_by_km,kilometrage_km,nb_portes,hayon,nb_places,prix_euros,puissance_fiscale_cv,puissance_reelle_ch,garantie_mecanique_mois,abs,esp,regulateur_vitesse,asr,alarme_antivol,direction_assistee,banquette_ar,radio_cd,fermeture_centralisee,vitres_electriques,allumage_auto_feux,peinture_metallisee,retroviseurs_electriques,roues_alliage_léger,fap,postal_codes
https://www.paruvendu.fr/a/voiture-occasion/peugeot/ion/1226133440A1KVVOPEION,Peugeot,iOn,PEUGEOT ABCIS Bretagne,Berline,Electrique,NA,Automatique,NA,NA,NA,NA,MORLAIX,53,Bretagne,29,Finistère,Morlaix,48583333,-3833333,1,2018-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,0,4,17490,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29600
https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1229313411A1KVVOPE2M8,Peugeot,2008,PEUGEOT ABCIS Bretagne,4x4 - SUV,Diesel,NA,Manuelle,NA,NA,NA,NA,MORLAIX,53,Bretagne,29,Finistère,Morlaix,48583333,-3833333,1,2017-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15514,4,1,5,17499,5,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29600
https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1229877236A1KVVOPE208,Peugeot,208,PEUGEOT Ets Georget,Berline,Essence,NA,Automatique,NA,NA,NA,NA,CHATELLERAULT,NA,NA,NA,NA,NA,NA,NA,1,2018-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,4,1,5,18499,6,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86103
https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1227716417A1KVVOPE308,Peugeot,308,PEUGEOT ABCIS Bretagne,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,MORLAIX,53,Bretagne,29,Finistère,Morlaix,48583333,-3833333,1,2018-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7800,4,1,5,21490,6,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29600
https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1226426015A1KVVOPE308,Peugeot,308,PEUGEOT ABCIS Bretagne,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,MORLAIX,53,Bretagne,29,Finistère,Morlaix,48583333,-3833333,1,2017-12-01,NA,NA,NA,NA,NA,NA,NA,NA,6.0,139,2000,4,1,5,28990,17,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29600
https://www.paruvendu.fr/a/voiture-occasion/peugeot/5008/1228250530A1KVVOPE5M8,Peugeot,5008,PEUGEOT Grands Garages du Biterrois,4x4 - SUV,Diesel,NA,Manuelle,NA,NA,NA,NA,35 BEZIERS,NA,NA,NA,NA,NA,NA,NA,1,2018-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1792,4,1,7,30290,6,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60534
https://www.paruvendu.fr/a/voiture-occasion/volkswagen/t-roc/1227690867A1KVVOVWTRO,Volkswagen,T-ROC,VOLKSWAGEN FLOC SA,4x4 - SUV,Diesel,NA,Automatique,NA,NA,NA,NA,CESSON SEVIGNE,53,Bretagne,35,Ille-et-Vilaine,Cesson-Sévigné,48125,-16,1,2018-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,4,1,5,34790,8,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35510
https://www.paruvendu.fr/a/voiture-occasion/volkswagen/touareg/1228374156A1KVVOVWTOG,Volkswagen,Touareg,VOLKSWAGEN FLOC SA,Berline,Diesel,NA,Manuelle,NA,NA,NA,NA,CESSON SEVIGNE,53,Bretagne,35,Ille-et-Vilaine,Cesson-Sévigné,48125,-16,1,2018-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,4,1,5,77700,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35510
https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-a/1229835494A1KVVOMEA,Mercedes,Classe A,FOTOCARS NANTES,Break,Diesel,NA,Automatique,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2009-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188507,4,1,NA,5900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44400
https://www.paruvendu.fr/a/voiture-occasion/citroen/grand-c4-picasso/1229907377A1KVVOCIGCP,Citroën,Grand C4 Picasso,SAS GARAGE DEBUS PÈRE ET FILS,Break,Diesel,NA,Manuelle,NA,NA,NA,NA,0 FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2011-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116102,4,1,NA,9500,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34632
https://www.paruvendu.fr/a/voiture-occasion/volkswagen/tiguan/1229078932A1KVVOVWTIG,Volkswagen,Tiguan,DELHORBE AUTO DIFFUSION,Break,Diesel,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2012-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98210,4,1,NA,14990,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51000
https://www.paruvendu.fr/a/voiture-occasion/opel/mokka/1229928569A1KVVOOPMOK,Opel,Mokka,OPEL BELFORT,Break,Essence,NA,Manuelle,NA,NA,NA,NA,Belfort,43,Franche-Comté,90,Territoire de Belfort,Belfort,47633333,6866667,1,2015-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,34500,4,1,5,15299,8,140,OPEL SELECTION Select 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90000
https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1224696975A1KVVORECAP,Renault,Captur,SAS GARAGE DEBUS PÈRE ET FILS,Break,Essence,NA,Manuelle,NA,NA,NA,NA,0 FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2018-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,NA,18870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34632
https://www.paruvendu.fr/a/voiture-occasion/porsche/cayenne/1228090498A1KVVOPOCAY,Porsche,Cayenne,FOTOCARS NANTES,Break,Essence,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2006-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87458,4,1,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44400
https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1224696916A1KVVORECAP,Renault,Captur,SAS GARAGE DEBUS PÈRE ET FILS,Break,Essence,NA,Manuelle,NA,NA,NA,NA,0 FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2018-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,NA,18940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34632
https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1224696965A1KVVORECAP,Renault,Captur,SAS GARAGE DEBUS PÈRE ET FILS,Break,Essence,NA,Manuelle,NA,NA,NA,NA,0 FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2018-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,NA,18970,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34632
https://www.paruvendu.fr/a/voiture-occasion/bmw/x3/1229128003A1KVVOBMX3,BMW,X3,FOTOCARS NANTES,Break,Diesel,NA,Automatique,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2012-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116599,4,1,NA,21900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44400
https://www.paruvendu.fr/a/voiture-occasion/infiniti/q30/1229078943A1KVVOINQ30,Infiniti,Q30,DELHORBE AUTO DIFFUSION,Berline,Diesel,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2016-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,4,1,NA,24885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51000
https://www.paruvendu.fr/a/voiture-occasion/renault/scenic-iv/1229638767A1KVVORESC4,Renault,Scenic IV,SAS GARAGE DEBUS PÈRE ET FILS,Break,Essence,NA,Manuelle,NA,NA,NA,NA,0 FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2018-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,NA,24900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34632
